player,games_played,avg_elo,mean_score,opening_diversity,favorite_opening,favorite_opening_games,favorite_opening_share,favorite_openings_coverage,family_closed_share,family_flank_share,family_indian_share,family_open_share,family_semi_open_share,eco_a_share,eco_b_share,eco_c_share,eco_d_share,eco_e_share,attackish_share,defensive_share,positional_share,hypermodern_share,cluster_id,archetype,pca_1,pca_2
gameless,1433,1771.1981856245638,0.4368457780879274,260,English Defense #2,61,0.04256803907885555,0.1060711793440335,0.0,0.6578947368421053,0.0,0.34210526315789475,0.0,0.6578947368421053,0.0,0.34210526315789475,0.0,0.0,0.0,0.6578947368421053,0.40131578947368424,0.40131578947368424,0,Hypermodern Strategists,-0.8316429446553317,0.07321953670430711
wix,1420,1645.394366197183,0.38661971830985914,38,Hungarian Opening,409,0.2880281690140845,0.5528169014084507,0.0,0.8280254777070064,0.0,0.0,0.17197452229299362,0.8280254777070064,0.17197452229299362,0.0,0.0,0.0,0.0,0.28662420382165604,0.0,0.28662420382165604,0,Hypermodern Strategists,-3.725692648900472,-1.530446685369589
Tata190,1401,1960.5967166309779,0.7198429693076374,60,Bird Opening,412,0.2940756602426838,0.5182012847965739,0.0,0.7892561983471075,0.0,0.0,0.21074380165289255,0.7892561983471075,0.21074380165289255,0.0,0.0,0.0,0.0,0.21074380165289255,0.21074380165289255,0.7892561983471075,0,Hypermodern Strategists,-4.361902184125958,-0.8206915527346887
sezwho,1385,1937.059927797834,0.4490974729241877,312,Bird Opening,149,0.10758122743682311,0.1891696750902527,0.0,0.7786259541984732,0.0,0.0,0.22137404580152673,0.7786259541984732,0.22137404580152673,0.0,0.0,0.0,0.0,0.22137404580152673,0.22137404580152673,0.7786259541984732,0,Hypermodern Strategists,-2.795799351334607,0.791192571713157
TheManMachine0,1369,2075.1424397370342,0.8531775018261505,193,Pirc Defense #4,127,0.09276844411979547,0.19576333089846604,0.0,0.5261194029850746,0.0,0.0,0.47388059701492535,0.5261194029850746,0.47388059701492535,0.0,0.0,0.0,0.0,0.753731343283582,0.2798507462686567,0.753731343283582,0,Hypermodern Strategists,-2.074801470309374,2.2595361821618813
krungthep,1336,1451.0793413173653,0.4337574850299401,158,Grob Opening,467,0.3495508982035928,0.6332335329341318,0.0,0.6028368794326241,0.0,0.0,0.3971631205673759,0.6028368794326241,0.3971631205673759,0.0,0.0,0.0,0.0,0.3971631205673759,0.0,0.0,0,Hypermodern Strategists,-2.7241468159486715,-0.5604328077574211
alihaleh,1290,1645.6627906976744,0.4414728682170543,164,Queen's Pawn,133,0.10310077519379846,0.24883720930232558,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.34890965732087226,0.0,0.0,0,Hypermodern Strategists,-2.650572340728859,-1.1548604361096972
gamal75,1260,1553.3174603174602,0.36587301587301585,126,Hungarian Opening,326,0.25873015873015875,0.4031746031746032,0.0,0.7992125984251969,0.0,0.0,0.20078740157480315,0.7992125984251969,0.20078740157480315,0.0,0.0,0.0,0.0,0.20078740157480315,0.0,0.20078740157480315,0,Hypermodern Strategists,-3.056474223538848,-1.0941068972652335
mehmetuca78,1247,1622.1515637530072,0.44065757818765033,33,Nimzo-Larsen Attack,365,0.29270248596631915,0.5396952686447474,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,Hypermodern Strategists,-4.9294999319623125,-2.274099652948534
Alfo_gg,1211,1680.6969446738233,0.49793559042113955,213,English Opening,111,0.0916597853014038,0.18166804293971925,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21818181818181817,1.0,1.0,0,Hypermodern Strategists,-4.193395922035381,-0.2169669825452422
bearrr123,1182,1686.507614213198,0.4593908629441624,141,Mieses Opening,212,0.1793570219966159,0.3900169204737733,0.0,0.9175704989154013,0.0,0.0,0.0824295010845987,0.9175704989154013,0.0824295010845987,0.0,0.0,0.0,0.0,0.1540130151843818,0.0,0.1540130151843818,0,Hypermodern Strategists,-3.170091178562406,-1.3481880021148251
aguarenai,1179,1868.2994062765056,0.6077184054283291,210,Horwitz Defense,73,0.06191687871077184,0.13401187446988974,0.0,0.6392405063291139,0.0,0.3227848101265823,0.0379746835443038,0.6392405063291139,0.0379746835443038,0.3227848101265823,0.0,0.0,0.0,1.0,0.0,0.21518987341772153,0,Hypermodern Strategists,-0.43820844855849017,0.2662295790345552
neurocon2,1168,1625.1763698630136,0.4259417808219178,126,English Defense #2,116,0.09931506849315068,0.2226027397260274,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26153846153846155,0.7384615384615385,0.4461538461538462,1.0,0,Hypermodern Strategists,-3.772387951990768,-0.17770880404355385
jensen7ice,1144,1731.042832167832,0.5546328671328671,91,Van't Kruijs Opening,182,0.1590909090909091,0.3120629370629371,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49019607843137253,0.19887955182072828,0.49019607843137253,0,Hypermodern Strategists,-3.6537176747896636,-1.0558565821171348
Baidaq,1139,1520.8033362598771,0.30070237050043896,164,Mieses Opening,148,0.1299385425812116,0.286215978928885,0.0,0.8190184049079755,0.0,0.0,0.18098159509202455,0.8190184049079755,0.18098159509202455,0.0,0.0,0.0,0.0,0.18098159509202455,0.0,0.18098159509202455,0,Hypermodern Strategists,-2.480981569750505,-0.721101346617144
fouduroifrance,1138,1344.6528998242532,0.46221441124780316,119,English Opening: King's English Variation,246,0.21616871704745166,0.4094903339191564,0.0,0.5278969957081545,0.0,0.0,0.4721030042918455,0.5278969957081545,0.4721030042918455,0.0,0.0,0.0,0.0,0.4721030042918455,1.0,0.5278969957081545,0,Hypermodern Strategists,-2.9665564228614136,0.7903000471523424
sidharth13,1121,1888.3309545049062,0.584299732381802,49,Owen Defense,252,0.2247992863514719,0.5548617305976806,0.0,0.594855305466238,0.0,0.0,0.40514469453376206,0.594855305466238,0.40514469453376206,0.0,0.0,0.0,0.594855305466238,0.40514469453376206,0.0,1.0,0,Hypermodern Strategists,-3.5699665449714586,0.26048012295570394
morroscamello,1100,2069.6781818181817,0.6309090909090909,181,Bird Opening,123,0.11181818181818182,0.22090909090909092,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25102880658436216,0.0,0.7489711934156379,0,Hypermodern Strategists,-3.604874468790823,-0.5617919074499472
